UserID;DateTime;TargetDistance;TargetHeight;GravityStrength;BallType;BallMass;Score
-1;15.1.2026 15:32;3;1;-10;Tennis;5;4
-1;15.1.2026 15:32;3;1;-10;Tennis;5;4
-1;15.1.2026 15:32;1;3;-10;Tennis;5;2
-1;15.1.2026 15:32;1;1;-10;Tennis;5;4
-1;15.1.2026 15:32;3;3;-10;Tennis;5;4
-1;15.1.2026 15:32;2;1;-10;Tennis;5;4
-1;15.1.2026 15:32;1;3;-10;Tennis;5;2
-1;15.1.2026 15:32;1;1;-10;Tennis;5;2
-1;15.1.2026 15:32;2;1;-10;Tennis;5;1
-1;15.1.2026 15:32;2;1;-10;Tennis;5;4
-1;15.1.2026 15:32;1;1;-10;Tennis;5;4
-1;15.1.2026 15:32;1;1;-10;Tennis;5;4
-1;15.1.2026 15:32;2;2;-10;Tennis;5;4
-1;15.1.2026 15:33;2;1;-10;Tennis;5;4
-1;15.1.2026 15:33;1;1;-10;Tennis;5;4
-1;15.1.2026 15:33;3;3;-10;Tennis;5;2
-1;15.1.2026 15:33;1;2;-10;Tennis;5;4
-1;15.1.2026 15:33;3;1;-10;Tennis;5;4
-1;15.1.2026 15:33;3;1;-10;Tennis;5;4
-1;15.1.2026 15:33;1;2;-10;Tennis;5;4
-1;15.1.2026 15:33;3;1;-10;Tennis;5;4
-1;15.1.2026 15:33;0;0;-10;Tennis;5;0
-1;15.1.2026 15:33;2;2;-10;Tennis;5;0
-1;15.1.2026 15:34;1;1;-10;Tennis;5;0
-1;15.1.2026 15:35;1;1;-10;Tennis;5;0
1;15.1.2026 15:37;1;1;-10;Tennis;5;8
1;15.1.2026 15:37;1;2;-10;Tennis;5;1
1;15.1.2026 15:37;2;3;-10;Tennis;5;0
1;15.1.2026 15:37;3;2;-10;Tennis;5;0
1;15.1.2026 15:37;2;3;-10;Tennis;5;0
1;15.1.2026 15:37;1;2;-10;Tennis;5;0
1;15.1.2026 15:38;1;3;-10;Tennis;5;6
1;15.1.2026 15:38;1;3;-10;Tennis;5;0
1;15.1.2026 15:38;2;2;-10;Tennis;5;0
1;15.1.2026 15:38;2;1;-10;Tennis;5;0
1;15.1.2026 15:38;0;0;-10;Tennis;5;0
1;15.1.2026 15:38;1;1;-10;Tennis;5;6
1;15.1.2026 15:38;1;3;-10;Tennis;5;0
1;15.1.2026 15:38;2;2;-10;Tennis;5;0
1;15.1.2026 15:38;2;3;-10;Tennis;5;0
1;15.1.2026 15:39;3;1;-10;Tennis;5;0
1;15.1.2026 15:39;2;1;-10;Tennis;5;0
1;15.1.2026 15:39;2;2;-10;Tennis;5;0
1;15.1.2026 15:39;2;3;-10;Tennis;5;0
1;15.1.2026 15:39;3;3;-10;Tennis;5;0
1;15.1.2026 15:39;0;0;-10;Tennis;5;2
1;15.1.2026 15:39;2;3;-10;Tennis;5;0
1;15.1.2026 15:39;3;3;-10;Tennis;5;0
1;15.1.2026 15:39;3;1;-10;Tennis;5;0
1;15.1.2026 15:39;1;2;-10;Tennis;5;0
1;15.1.2026 15:39;1;1;-10;Tennis;5;7
1;15.1.2026 15:40;2;1;-10;Tennis;5;0
1;15.1.2026 15:40;2;3;-10;Tennis;5;1
1;15.1.2026 15:40;2;1;-10;Tennis;5;0
1;15.1.2026 15:40;3;3;-10;Tennis;5;7
1;15.1.2026 15:42;2;2;-10;Bowling;5;6
1;15.1.2026 15:43;2;2;-10;Bowling;5;6
1;15.1.2026 15:43;2;2;-10;Bowling;5;6
1;15.1.2026 15:43;2;2;-10;Bowling;5;6
1;15.1.2026 15:43;2;2;-10;Bowling;5;6
1;15.1.2026 15:43;2;2;-10;Bowling;5;6
-1;16.1.2026 17:39;0;0;-10;Tennis;5;0
